"","animal_number","genotype","sex","name","acronym","structure_id_path","parent_structure_id","cell_numbers","cell_density"
"5:85","AN26","Dp2Yey","male","Orbital area, lateral part, layer 6a","ORBl6a","/997/8/567/688/695/315/714/723/440/",723,9,540.508077592937
"5:96","AN26","Dp2Yey","male","Orbital area, medial part, layer 1","ORBm1","/997/8/567/688/695/315/714/731/484/",731,6,2326.48313299729
"5:109","AN26","Dp2Yey","male","Infralimbic area, layer 2/3","ILA2/3","/997/8/567/688/695/315/9999/44/556/",44,26,4348.55326977756
"5:120","AN26","Dp2Yey","male","Orbital area, medial part, layer 2/3","ORBm2/3","/997/8/567/688/695/315/714/731/582/",731,8,611.714329408166
"5:127","AN26","Dp2Yey","male","Taenia tecta, dorsal part","TTd","/997/8/567/688/695/698/589/597/",589,47,1623.37662337662
"5:131","AN26","Dp2Yey","male","Taenia tecta, ventral part","TTv","/997/8/567/688/695/698/589/605/",589,23,1122.8275727397
"5:133","AN26","Dp2Yey","male","Orbital area, ventrolateral part, layer 6a","ORBvl6a","/997/8/567/688/695/315/714/746/608/",746,11,1524.17902175419
"5:143","AN26","Dp2Yey","male","Orbital area, lateral part, layer 5","ORBl5","/997/8/567/688/695/315/714/723/630/",723,4,198.925800676348
"5:151","AN26","Dp2Yey","male","Primary motor area, Layer 5","MOp5","/997/8/567/688/695/315/500/985/648/",985,6,43.2332723263824
"5:156","AN26","Dp2Yey","male","Secondary motor area, layer 1","MOs1","/997/8/567/688/695/315/500/993/656/",993,13,373.563218390805
"5:176","AN26","Dp2Yey","male","Olfactory areas","OLF","/997/8/567/688/695/698/",695,25,534.953886974943
"5:181","AN26","Dp2Yey","male","Agranular insular area, ventral part, layer 1","AIv1","/997/8/567/688/695/315/95/119/704/",119,4,725.031720137756
"5:183","AN26","Dp2Yey","male","Infralimbic area, layer 1","ILA1","/997/8/567/688/695/315/9999/44/707/",44,20,2949.41749004572
"5:197","AN26","Dp2Yey","male","Secondary motor area, layer 5","MOs5","/997/8/567/688/695/315/500/993/767/",993,67,521.90847127556
"5:201","AN26","Dp2Yey","male","Agranular insular area, dorsal part, layer 6a","AId6a","/997/8/567/688/695/315/95/104/783/",104,11,402.709134175362
"5:209","AN26","Dp2Yey","male","Dorsal peduncular cortex","DP","/997/8/567/688/695/698/814/",698,15,824.266402901418
"5:212","AN26","Dp2Yey","male","Infralimbic area, layer 5","ILA5","/997/8/567/688/695/315/9999/44/827/",44,9,467.726847521048
"5:218","AN26","Dp2Yey","male","Primary motor area, Layer 6a","MOp6a","/997/8/567/688/695/315/500/985/844/",985,9,193.602512530385
"5:237","AN26","Dp2Yey","male","Orbital area, medial part, layer 6a","ORBm6a","/997/8/567/688/695/315/714/731/910/",731,13,1536.64302600473
"5:242","AN26","Dp2Yey","male","Anterior cingulate area, dorsal part, layer 6a","ACAd6a","/997/8/567/688/695/315/9999/31/39/919/",39,3,1202.88692862871
"5:247","AN26","Dp2Yey","male","Anterior cingulate area, dorsal part, layer 1","ACAd1","/997/8/567/688/695/315/9999/31/39/935/",39,7,1226.34898388227
"5:251","AN26","Dp2Yey","male","Primary motor area, Layer 2/3","MOp2/3","/997/8/567/688/695/315/500/985/943/",985,18,207.456923874834
"5:259","AN26","Dp2Yey","male","Endopiriform nucleus, dorsal part","EPd","/997/8/567/688/703/942/952/",942,4,185.709642973211
"5:262","AN26","Dp2Yey","male","corpus callosum, anterior forceps","fa","/997/1009/983/776/956/",776,3,746.454341876089
"5:267","AN26","Dp2Yey","male","Piriform cortex","PIR","/997/8/567/688/695/698/961/",698,59,249.47251362585
"5:268","AN26","Dp2Yey","male","Secondary motor area, layer 2/3","MOs2/3","/997/8/567/688/695/315/500/993/962/",993,37,564.084582196271
"5:291","AN26","Dp2Yey","male","Anterior cingulate area, dorsal part, layer 5","ACAd5","/997/8/567/688/695/315/9999/31/39/1015/",39,18,1364.98066277394
"5:295","AN26","Dp2Yey","male","Secondary motor area, layer 6a","MOs6a","/997/8/567/688/695/315/500/993/1021/",993,53,799.794769644016
"5:300","AN26","Dp2Yey","male","Infralimbic area, layer 6a","ILA6a","/997/8/567/688/695/315/9999/44/1054/",44,5,779.423226812159
"5:305","AN26","Dp2Yey","male","Agranular insular area, dorsal part, layer 5","AId5","/997/8/567/688/695/315/95/104/1101/",104,15,334.48544988293
"5:308","AN26","Dp2Yey","male","Orbital area, ventrolateral part, layer 5","ORBvl5","/997/8/567/688/695/315/714/746/1125/",746,3,1113.99925733383
"6:1","AN30","Dp2Yey","female","Prelimbic area, layer 6a","PL6a","/997/8/567/688/695/315/9999/972/84/",972,54,910.946540933552
"6:2","AN30","Dp2Yey","female","Anterior olfactory nucleus","AON","/997/8/567/688/695/698/159/",698,328,828.510877994195
"6:3","AN30","Dp2Yey","female","Prelimbic area, layer 1","PL1","/997/8/567/688/695/315/9999/972/171/",972,33,713.744998377852
"6:4","AN30","Dp2Yey","female","Anterior cingulate area, dorsal part, layer 2/3","ACAd2/3","/997/8/567/688/695/315/9999/31/39/211/",39,11,351.842374616172
"6:5","AN30","Dp2Yey","female","Prelimbic area, layer 2/3","PL2/3","/997/8/567/688/695/315/9999/972/304/",972,28,833.283733111124
"6:6","AN30","Dp2Yey","female","Primary motor area, Layer 1","MOp1","/997/8/567/688/695/315/500/985/320/",985,111,985.064295412795
"6:7","AN30","Dp2Yey","female","Agranular insular area, dorsal part, layer 2/3","AId2/3","/997/8/567/688/695/315/95/104/328/",104,104,1576.68925577235
"6:8","AN30","Dp2Yey","female","Prelimbic area, layer 5","PL5","/997/8/567/688/695/315/9999/972/363/",972,52,693.000693000693
"6:9","AN30","Dp2Yey","female","Orbital area, lateral part, layer 2/3","ORBl2/3","/997/8/567/688/695/315/714/723/412/",723,23,373.740656483588
"6:10","AN30","Dp2Yey","female","Orbital area, lateral part, layer 6a","ORBl6a","/997/8/567/688/695/315/714/723/440/",723,61,746.652304829984
"6:12","AN30","Dp2Yey","female","Orbital area, medial part, layer 1","ORBm1","/997/8/567/688/695/315/714/731/484/",731,4,218.173884586015
"6:13","AN30","Dp2Yey","female","Orbital area, lateral part, layer 6b","ORBl6b","/997/8/567/688/695/315/714/723/488/",723,3,1648.35164835165
"6:14","AN30","Dp2Yey","female","Infralimbic area, layer 2/3","ILA2/3","/997/8/567/688/695/315/9999/44/556/",44,7,218.852587150227
"6:15","AN30","Dp2Yey","female","Orbital area, medial part, layer 2/3","ORBm2/3","/997/8/567/688/695/315/714/731/582/",731,5,195.679398872887
"6:16","AN30","Dp2Yey","female","Taenia tecta, dorsal part","TTd","/997/8/567/688/695/698/589/597/",589,105,1103.21929898294
"6:17","AN30","Dp2Yey","female","Taenia tecta, ventral part","TTv","/997/8/567/688/695/698/589/605/",589,23,206.056262318581
"6:18","AN30","Dp2Yey","female","Orbital area, ventrolateral part, layer 6a","ORBvl6a","/997/8/567/688/695/315/714/746/608/",746,73,712.591392286442
"6:20","AN30","Dp2Yey","female","Orbital area, lateral part, layer 5","ORBl5","/997/8/567/688/695/315/714/723/630/",723,99,501.301358070952
"6:21","AN30","Dp2Yey","female","Primary motor area, Layer 5","MOp5","/997/8/567/688/695/315/500/985/648/",985,103,578.125526206486
"6:22","AN30","Dp2Yey","female","Secondary motor area, layer 1","MOs1","/997/8/567/688/695/315/500/993/656/",993,98,701.372686543664
"6:24","AN30","Dp2Yey","female","Agranular insular area, ventral part, layer 2/3","AIv2/3","/997/8/567/688/695/315/95/119/694/",119,75,1319.49331456721
"6:25","AN30","Dp2Yey","female","Olfactory areas","OLF","/997/8/567/688/695/698/",695,93,524.872168229996
"6:26","AN30","Dp2Yey","female","Agranular insular area, ventral part, layer 1","AIv1","/997/8/567/688/695/315/95/119/704/",119,27,846.341922136543
"6:27","AN30","Dp2Yey","female","Infralimbic area, layer 1","ILA1","/997/8/567/688/695/315/9999/44/707/",44,23,657.34945268513
"6:28","AN30","Dp2Yey","female","Secondary motor area, layer 5","MOs5","/997/8/567/688/695/315/500/993/767/",993,389,929.123852926143
"6:29","AN30","Dp2Yey","female","Agranular insular area, dorsal part, layer 6a","AId6a","/997/8/567/688/695/315/95/104/783/",104,20,416.103193592011
"6:30","AN30","Dp2Yey","female","Agranular insular area, ventral part, layer 5","AIv5","/997/8/567/688/695/315/95/119/800/",119,44,642.786185940513
"6:31","AN30","Dp2Yey","female","Dorsal peduncular cortex","DP","/997/8/567/688/695/698/814/",698,18,309.02348578492
"6:32","AN30","Dp2Yey","female","Infralimbic area, layer 5","ILA5","/997/8/567/688/695/315/9999/44/827/",44,4,75.1950371275496
"6:33","AN30","Dp2Yey","female","anterior commissure, olfactory limb","aco","/997/1009/967/840/900/",840,9,759.621877110061
"6:34","AN30","Dp2Yey","female","Orbital area, medial part, layer 6a","ORBm6a","/997/8/567/688/695/315/714/731/910/",731,39,437.151119779407
"6:35","AN30","Dp2Yey","female","Anterior cingulate area, dorsal part, layer 6a","ACAd6a","/997/8/567/688/695/315/9999/31/39/919/",39,29,3150.1194872909
"6:36","AN30","Dp2Yey","female","Anterior cingulate area, dorsal part, layer 1","ACAd1","/997/8/567/688/695/315/9999/31/39/935/",39,7,156.904938022549
"6:37","AN30","Dp2Yey","female","Primary motor area, Layer 2/3","MOp2/3","/997/8/567/688/695/315/500/985/943/",985,193,867.696513028935
"6:38","AN30","Dp2Yey","female","Endopiriform nucleus, dorsal part","EPd","/997/8/567/688/703/942/952/",942,20,1086.54316292715
"6:39","AN30","Dp2Yey","female","corpus callosum, anterior forceps","fa","/997/1009/983/776/956/",776,7,1208.98100172712
"6:40","AN30","Dp2Yey","female","Piriform cortex","PIR","/997/8/567/688/695/698/961/",698,278,688.224430481906
"6:41","AN30","Dp2Yey","female","Secondary motor area, layer 2/3","MOs2/3","/997/8/567/688/695/315/500/993/962/",993,198,906.253146712315
"6:42","AN30","Dp2Yey","female","Agranular insular area, dorsal part, layer 1","AId1","/997/8/567/688/695/315/95/104/996/",104,45,1160.21244779044
"6:43","AN30","Dp2Yey","female","Anterior cingulate area, dorsal part, layer 5","ACAd5","/997/8/567/688/695/315/9999/31/39/1015/",39,73,1795.68543526923
"6:44","AN30","Dp2Yey","female","Secondary motor area, layer 6a","MOs6a","/997/8/567/688/695/315/500/993/1021/",993,145,863.408737696425
"6:45","AN30","Dp2Yey","female","Infralimbic area, layer 6a","ILA6a","/997/8/567/688/695/315/9999/44/1054/",44,6,269.360269360269
"6:46","AN30","Dp2Yey","female","Agranular insular area, dorsal part, layer 5","AId5","/997/8/567/688/695/315/95/104/1101/",104,134,858.066788332853
"6:48","AN30","Dp2Yey","female","Orbital area, ventrolateral part, layer 5","ORBvl5","/997/8/567/688/695/315/714/746/1125/",746,12,296.662546353523
"7:1","AN32","Dp2Yey","male","Nucleus accumbens","ACB","/997/8/567/623/477/493/56/",493,8,210.609451099118
"7:2","AN32","Dp2Yey","male","Prelimbic area, layer 6a","PL6a","/997/8/567/688/695/315/9999/972/84/",972,20,283.065600452905
"7:3","AN32","Dp2Yey","male","Anterior olfactory nucleus","AON","/997/8/567/688/695/698/159/",698,250,710.04774361028
"7:4","AN32","Dp2Yey","male","Prelimbic area, layer 1","PL1","/997/8/567/688/695/315/9999/972/171/",972,98,1927.199071798
"7:5","AN32","Dp2Yey","male","Anterior cingulate area, dorsal part, layer 2/3","ACAd2/3","/997/8/567/688/695/315/9999/31/39/211/",39,37,1071.25278670488
"7:6","AN32","Dp2Yey","male","Orbital area, ventrolateral part, layer 2/3","ORBvl2/3","/997/8/567/688/695/315/714/746/288/",746,11,1398.77924720244
"7:7","AN32","Dp2Yey","male","Prelimbic area, layer 2/3","PL2/3","/997/8/567/688/695/315/9999/972/304/",972,31,710.536569712806
"7:8","AN32","Dp2Yey","male","Primary motor area, Layer 1","MOp1","/997/8/567/688/695/315/500/985/320/",985,28,204.182831140799
"7:9","AN32","Dp2Yey","male","Agranular insular area, dorsal part, layer 2/3","AId2/3","/997/8/567/688/695/315/95/104/328/",104,29,344.078877116382
"7:10","AN32","Dp2Yey","male","Prelimbic area, layer 5","PL5","/997/8/567/688/695/315/9999/972/363/",972,108,889.474551144787
"7:11","AN32","Dp2Yey","male","Orbital area, lateral part, layer 2/3","ORBl2/3","/997/8/567/688/695/315/714/723/412/",723,40,727.947733352745
"7:12","AN32","Dp2Yey","male","Orbital area, lateral part, layer 6a","ORBl6a","/997/8/567/688/695/315/714/723/440/",723,52,583.646669285594
"7:14","AN32","Dp2Yey","male","Orbital area, medial part, layer 1","ORBm1","/997/8/567/688/695/315/714/731/484/",731,4,641.43681847338
"7:15","AN32","Dp2Yey","male","Infralimbic area, layer 2/3","ILA2/3","/997/8/567/688/695/315/9999/44/556/",44,8,206.793155146565
"7:16","AN32","Dp2Yey","male","Taenia tecta, dorsal part","TTd","/997/8/567/688/695/698/589/597/",589,13,131.827123937778
"7:17","AN32","Dp2Yey","male","Taenia tecta, ventral part","TTv","/997/8/567/688/695/698/589/605/",589,83,961.716722284019
"7:18","AN32","Dp2Yey","male","Orbital area, ventrolateral part, layer 6a","ORBvl6a","/997/8/567/688/695/315/714/746/608/",746,194,2677.59789104661
"7:19","AN32","Dp2Yey","male","Orbital area, medial part, layer 5","ORBm5","/997/8/567/688/695/315/714/731/620/",731,13,387.354369655255
"7:20","AN32","Dp2Yey","male","Orbital area, lateral part, layer 5","ORBl5","/997/8/567/688/695/315/714/723/630/",723,216,983.499071139766
"7:21","AN32","Dp2Yey","male","Primary motor area, Layer 5","MOp5","/997/8/567/688/695/315/500/985/648/",985,95,423.026913417523
"7:22","AN32","Dp2Yey","male","Secondary motor area, layer 1","MOs1","/997/8/567/688/695/315/500/993/656/",993,62,424.297172264652
"7:23","AN32","Dp2Yey","male","lateral olfactory tract, body","lot","/997/1009/967/840/21/665/",21,16,393.255665339429
"7:26","AN32","Dp2Yey","male","Agranular insular area, ventral part, layer 2/3","AIv2/3","/997/8/567/688/695/315/95/119/694/",119,20,258.728865085833
"7:27","AN32","Dp2Yey","male","Olfactory areas","OLF","/997/8/567/688/695/698/",695,175,731.724654103303
"7:28","AN32","Dp2Yey","male","Agranular insular area, ventral part, layer 1","AIv1","/997/8/567/688/695/315/95/119/704/",119,11,374.83813807674
"7:29","AN32","Dp2Yey","male","Infralimbic area, layer 1","ILA1","/997/8/567/688/695/315/9999/44/707/",44,50,1210.1849162552
"7:30","AN32","Dp2Yey","male","Olfactory tubercle","OT","/997/8/567/623/477/493/754/",493,157,1208.28715675409
"7:31","AN32","Dp2Yey","male","Secondary motor area, layer 5","MOs5","/997/8/567/688/695/315/500/993/767/",993,164,452.556114198672
"7:32","AN32","Dp2Yey","male","Agranular insular area, dorsal part, layer 6a","AId6a","/997/8/567/688/695/315/95/104/783/",104,37,410.673059847274
"7:33","AN32","Dp2Yey","male","Agranular insular area, ventral part, layer 5","AIv5","/997/8/567/688/695/315/95/119/800/",119,13,173.875825910173
"7:34","AN32","Dp2Yey","male","Dorsal peduncular cortex","DP","/997/8/567/688/695/698/814/",698,43,529.458843809641
"7:35","AN32","Dp2Yey","male","Infralimbic area, layer 5","ILA5","/997/8/567/688/695/315/9999/44/827/",44,126,1452.28215767635
"7:37","AN32","Dp2Yey","male","anterior commissure, olfactory limb","aco","/997/1009/967/840/900/",840,5,303.287637995875
"7:38","AN32","Dp2Yey","male","Orbital area, medial part, layer 6a","ORBm6a","/997/8/567/688/695/315/714/731/910/",731,153,2325.08662087411
"7:40","AN32","Dp2Yey","male","Anterior cingulate area, dorsal part, layer 1","ACAd1","/997/8/567/688/695/315/9999/31/39/935/",39,28,839.93280537557
"7:41","AN32","Dp2Yey","male","Primary motor area, Layer 2/3","MOp2/3","/997/8/567/688/695/315/500/985/943/",985,138,500.718422083859
"7:42","AN32","Dp2Yey","male","Endopiriform nucleus, dorsal part","EPd","/997/8/567/688/703/942/952/",942,6,139.710333907698
"7:43","AN32","Dp2Yey","male","Piriform cortex","PIR","/997/8/567/688/695/698/961/",698,479,963.90876070311
"7:44","AN32","Dp2Yey","male","Secondary motor area, layer 2/3","MOs2/3","/997/8/567/688/695/315/500/993/962/",993,90,389.723426275153
"7:45","AN32","Dp2Yey","male","Agranular insular area, dorsal part, layer 1","AId1","/997/8/567/688/695/315/95/104/996/",104,21,583.349537487152
"7:46","AN32","Dp2Yey","male","Anterior cingulate area, dorsal part, layer 5","ACAd5","/997/8/567/688/695/315/9999/31/39/1015/",39,21,333.185250999556
"7:47","AN32","Dp2Yey","male","Secondary motor area, layer 6a","MOs6a","/997/8/567/688/695/315/500/993/1021/",993,70,305.627475036784
"7:48","AN32","Dp2Yey","male","Infralimbic area, layer 6a","ILA6a","/997/8/567/688/695/315/9999/44/1054/",44,59,2110.91234347048
"7:49","AN32","Dp2Yey","male","Agranular insular area, dorsal part, layer 5","AId5","/997/8/567/688/695/315/95/104/1101/",104,8,54.7622633243432
"7:50","AN32","Dp2Yey","male","Orbital area, ventrolateral part, layer 5","ORBvl5","/997/8/567/688/695/315/714/746/1125/",746,81,1397.56375306256
"8:1","AN51","WT","male","Gustatory areas, layer 1","GU1","/997/8/567/688/695/315/1057/36/",1057,3,661.375661375661
"8:3","AN51","WT","male","Prelimbic area, layer 6a","PL6a","/997/8/567/688/695/315/9999/972/84/",972,198,2047.78156996587
"8:5","AN51","WT","male","Anterior olfactory nucleus","AON","/997/8/567/688/695/698/159/",698,317,687.259892640032
"8:6","AN51","WT","male","Prelimbic area, layer 1","PL1","/997/8/567/688/695/315/9999/972/171/",972,27,454.882404474695
"8:8","AN51","WT","male","Anterior cingulate area, dorsal part, layer 2/3","ACAd2/3","/997/8/567/688/695/315/9999/31/39/211/",39,18,417.449384262158
"8:10","AN51","WT","male","Prelimbic area, layer 2/3","PL2/3","/997/8/567/688/695/315/9999/972/304/",972,39,706.508940055434
"8:11","AN51","WT","male","Primary motor area, Layer 1","MOp1","/997/8/567/688/695/315/500/985/320/",985,149,826.395860255905
"8:12","AN51","WT","male","Agranular insular area, dorsal part, layer 2/3","AId2/3","/997/8/567/688/695/315/95/104/328/",104,103,1113.85067912449
"8:14","AN51","WT","male","Prelimbic area, layer 5","PL5","/997/8/567/688/695/315/9999/972/363/",972,274,2139.45498555477
"8:15","AN51","WT","male","Orbital area, lateral part, layer 2/3","ORBl2/3","/997/8/567/688/695/315/714/723/412/",723,7,172.189014340885
"8:16","AN51","WT","male","Orbital area, lateral part, layer 6a","ORBl6a","/997/8/567/688/695/315/714/723/440/",723,91,778.456432103201
"8:17","AN51","WT","male","Orbital area, medial part, layer 1","ORBm1","/997/8/567/688/695/315/714/731/484/",731,3,476.266073979997
"8:18","AN51","WT","male","Orbital area, lateral part, layer 6b","ORBl6b","/997/8/567/688/695/315/714/723/488/",723,7,682.727006729738
"8:19","AN51","WT","male","Infralimbic area, layer 2/3","ILA2/3","/997/8/567/688/695/315/9999/44/556/",44,7,151.246704982499
"8:20","AN51","WT","male","Orbital area, medial part, layer 2/3","ORBm2/3","/997/8/567/688/695/315/714/731/582/",731,5,471.342383107089
"8:21","AN51","WT","male","Taenia tecta, dorsal part","TTd","/997/8/567/688/695/698/589/597/",589,77,626.775524822753
"8:22","AN51","WT","male","Taenia tecta, ventral part","TTv","/997/8/567/688/695/698/589/605/",589,65,537.190082644628
"8:23","AN51","WT","male","Orbital area, ventrolateral part, layer 6a","ORBvl6a","/997/8/567/688/695/315/714/746/608/",746,99,1417.48518083675
"8:24","AN51","WT","male","Orbital area, medial part, layer 5","ORBm5","/997/8/567/688/695/315/714/731/620/",731,4,143.611101138118
"8:25","AN51","WT","male","Orbital area, lateral part, layer 5","ORBl5","/997/8/567/688/695/315/714/723/630/",723,67,304.473488084635
"8:26","AN51","WT","male","Primary motor area, Layer 5","MOp5","/997/8/567/688/695/315/500/985/648/",985,103,327.567509119416
"8:27","AN51","WT","male","Secondary motor area, layer 1","MOs1","/997/8/567/688/695/315/500/993/656/",993,57,366.30507428924
"8:31","AN51","WT","male","Agranular insular area, ventral part, layer 2/3","AIv2/3","/997/8/567/688/695/315/95/119/694/",119,33,340.258802907666
"8:32","AN51","WT","male","Olfactory areas","OLF","/997/8/567/688/695/698/",695,141,501.445657160537
"8:33","AN51","WT","male","Agranular insular area, ventral part, layer 1","AIv1","/997/8/567/688/695/315/95/119/704/",119,19,562.912926258407
"8:34","AN51","WT","male","Infralimbic area, layer 1","ILA1","/997/8/567/688/695/315/9999/44/707/",44,42,827.798253739874
"8:35","AN51","WT","male","Olfactory tubercle","OT","/997/8/567/623/477/493/754/",493,20,152.409982853877
"8:36","AN51","WT","male","Secondary motor area, layer 5","MOs5","/997/8/567/688/695/315/500/993/767/",993,352,780.318245702708
"8:37","AN51","WT","male","Agranular insular area, dorsal part, layer 6a","AId6a","/997/8/567/688/695/315/95/104/783/",104,43,414.817673162261
"8:38","AN51","WT","male","Agranular insular area, ventral part, layer 5","AIv5","/997/8/567/688/695/315/95/119/800/",119,21,192.103626184639
"8:39","AN51","WT","male","Dorsal peduncular cortex","DP","/997/8/567/688/695/698/814/",698,49,435.338853548456
"8:40","AN51","WT","male","Infralimbic area, layer 5","ILA5","/997/8/567/688/695/315/9999/44/827/",44,24,230.545335779675
"8:41","AN51","WT","male","Primary motor area, Layer 6a","MOp6a","/997/8/567/688/695/315/500/985/844/",985,10,204.152461057918
"8:42","AN51","WT","male","anterior commissure, olfactory limb","aco","/997/1009/967/840/900/",840,9,445.16990651432
"8:43","AN51","WT","male","Orbital area, medial part, layer 6a","ORBm6a","/997/8/567/688/695/315/714/731/910/",731,94,1257.6428561872
"8:44","AN51","WT","male","Anterior cingulate area, dorsal part, layer 6a","ACAd6a","/997/8/567/688/695/315/9999/31/39/919/",39,77,3259.81118496253
"8:45","AN51","WT","male","Anterior cingulate area, dorsal part, layer 1","ACAd1","/997/8/567/688/695/315/9999/31/39/935/",39,19,493.199044751324
"8:47","AN51","WT","male","Primary motor area, Layer 2/3","MOp2/3","/997/8/567/688/695/315/500/985/943/",985,340,988.418065956556
"8:48","AN51","WT","male","Endopiriform nucleus, dorsal part","EPd","/997/8/567/688/703/942/952/",942,18,374.010430735346
"8:49","AN51","WT","male","corpus callosum, anterior forceps","fa","/997/1009/983/776/956/",776,25,608.242907887694
"8:50","AN51","WT","male","Piriform cortex","PIR","/997/8/567/688/695/698/961/",698,364,611.099172665736
"8:51","AN51","WT","male","Secondary motor area, layer 2/3","MOs2/3","/997/8/567/688/695/315/500/993/962/",993,131,498.986790181768
"8:52","AN51","WT","male","Agranular insular area, dorsal part, layer 1","AId1","/997/8/567/688/695/315/95/104/996/",104,32,812.203355415112
"8:53","AN51","WT","male","Anterior cingulate area, dorsal part, layer 5","ACAd5","/997/8/567/688/695/315/9999/31/39/1015/",39,76,857.01398285972
"8:54","AN51","WT","male","Secondary motor area, layer 6a","MOs6a","/997/8/567/688/695/315/500/993/1021/",993,202,693.802829479064
"8:55","AN51","WT","male","Infralimbic area, layer 6a","ILA6a","/997/8/567/688/695/315/9999/44/1054/",44,71,1027.00591613267
"8:57","AN51","WT","male","Agranular insular area, dorsal part, layer 5","AId5","/997/8/567/688/695/315/95/104/1101/",104,57,315.460904985389
"8:59","AN51","WT","male","Orbital area, ventrolateral part, layer 5","ORBvl5","/997/8/567/688/695/315/714/746/1125/",746,28,827.105426402387
"9:1","AN52","WT","female","Gustatory areas, layer 1","GU1","/997/8/567/688/695/315/1057/36/",1057,4,677.736360555744
"9:2","AN52","WT","female","Nucleus accumbens","ACB","/997/8/567/623/477/493/56/",493,12,313.127886647705
"9:3","AN52","WT","female","Prelimbic area, layer 6a","PL6a","/997/8/567/688/695/315/9999/972/84/",972,260,3088.61962461392
"9:5","AN52","WT","female","Anterior olfactory nucleus","AON","/997/8/567/688/695/698/159/",698,255,606.513238637985
"9:6","AN52","WT","female","Prelimbic area, layer 1","PL1","/997/8/567/688/695/315/9999/972/171/",972,42,840.571588680303
"9:7","AN52","WT","female","Anterior cingulate area, dorsal part, layer 2/3","ACAd2/3","/997/8/567/688/695/315/9999/31/39/211/",39,20,600.690794413576
"9:9","AN52","WT","female","Prelimbic area, layer 2/3","PL2/3","/997/8/567/688/695/315/9999/972/304/",972,11,233.818684238495
"9:10","AN52","WT","female","Primary motor area, Layer 1","MOp1","/997/8/567/688/695/315/500/985/320/",985,45,221.639938531857
"9:11","AN52","WT","female","Agranular insular area, dorsal part, layer 2/3","AId2/3","/997/8/567/688/695/315/95/104/328/",104,63,545.808966861598
"9:13","AN52","WT","female","Prelimbic area, layer 5","PL5","/997/8/567/688/695/315/9999/972/363/",972,246,2148.67803893824
"9:14","AN52","WT","female","Orbital area, lateral part, layer 2/3","ORBl2/3","/997/8/567/688/695/315/714/723/412/",723,12,362.132963152971
"9:15","AN52","WT","female","Orbital area, lateral part, layer 6a","ORBl6a","/997/8/567/688/695/315/714/723/440/",723,60,516.337788181028
"9:16","AN52","WT","female","Orbital area, lateral part, layer 6b","ORBl6b","/997/8/567/688/695/315/714/723/488/",723,18,1319.45462542149
"9:17","AN52","WT","female","Infralimbic area, layer 2/3","ILA2/3","/997/8/567/688/695/315/9999/44/556/",44,8,174.109863323757
"9:18","AN52","WT","female","Taenia tecta, dorsal part","TTd","/997/8/567/688/695/698/589/597/",589,96,823.85754130015
"9:19","AN52","WT","female","Taenia tecta, ventral part","TTv","/997/8/567/688/695/698/589/605/",589,123,1360.03272924292
"9:20","AN52","WT","female","Orbital area, ventrolateral part, layer 6a","ORBvl6a","/997/8/567/688/695/315/714/746/608/",746,42,660.980139120582
"9:22","AN52","WT","female","Orbital area, lateral part, layer 5","ORBl5","/997/8/567/688/695/315/714/723/630/",723,78,418.062441377462
"9:23","AN52","WT","female","Primary motor area, Layer 5","MOp5","/997/8/567/688/695/315/500/985/648/",985,72,229.81021506406
"9:24","AN52","WT","female","Secondary motor area, layer 1","MOs1","/997/8/567/688/695/315/500/993/656/",993,49,423.454176208789
"9:28","AN52","WT","female","Agranular insular area, ventral part, layer 2/3","AIv2/3","/997/8/567/688/695/315/95/119/694/",119,29,311.482981214354
"9:29","AN52","WT","female","Olfactory areas","OLF","/997/8/567/688/695/698/",695,218,825.110614026123
"9:30","AN52","WT","female","Agranular insular area, ventral part, layer 1","AIv1","/997/8/567/688/695/315/95/119/704/",119,7,208.643815201192
"9:31","AN52","WT","female","Infralimbic area, layer 1","ILA1","/997/8/567/688/695/315/9999/44/707/",44,26,507.148848186943
"9:32","AN52","WT","female","Olfactory tubercle","OT","/997/8/567/623/477/493/754/",493,41,350.682119488517
"9:33","AN52","WT","female","Secondary motor area, layer 5","MOs5","/997/8/567/688/695/315/500/993/767/",993,321,720.632540263379
"9:34","AN52","WT","female","Agranular insular area, dorsal part, layer 6a","AId6a","/997/8/567/688/695/315/95/104/783/",104,28,324.201653428433
"9:35","AN52","WT","female","Agranular insular area, ventral part, layer 5","AIv5","/997/8/567/688/695/315/95/119/800/",119,15,158.107766253478
"9:36","AN52","WT","female","Dorsal peduncular cortex","DP","/997/8/567/688/695/698/814/",698,35,333.539810358794
"9:37","AN52","WT","female","Infralimbic area, layer 5","ILA5","/997/8/567/688/695/315/9999/44/827/",44,38,397.884927490707
"9:40","AN52","WT","female","anterior commissure, olfactory limb","aco","/997/1009/967/840/900/",840,6,387.296669248644
"9:41","AN52","WT","female","Orbital area, medial part, layer 6a","ORBm6a","/997/8/567/688/695/315/714/731/910/",731,100,1474.16525392496
"9:42","AN52","WT","female","Anterior cingulate area, dorsal part, layer 6a","ACAd6a","/997/8/567/688/695/315/9999/31/39/919/",39,30,1404.62590130162
"9:43","AN52","WT","female","Anterior cingulate area, dorsal part, layer 1","ACAd1","/997/8/567/688/695/315/9999/31/39/935/",39,21,718.9811010682
